order,mode_key,mode,file,agent,timestep,tokens,model
boiled_egg,baseline,Free-form,experiment_2025-12-08_22-01-38_boiled_egg.json,Chef,5,96,qwen2.5-3b
boiled_egg,baseline,Free-form,experiment_2025-12-08_22-01-38_boiled_egg.json,Chef,6,77,qwen2.5-3b
boiled_egg,baseline,Free-form,experiment_2025-12-08_22-01-38_boiled_egg.json,Chef,7,671,qwen2.5-3b
boiled_egg,baseline,Free-form,experiment_2025-12-08_22-01-38_boiled_egg.json,Chef,8,111,qwen2.5-3b
boiled_egg,baseline,Free-form,experiment_2025-12-08_22-01-38_boiled_egg.json,Chef,8,98,qwen2.5-3b
boiled_egg,baseline,Free-form,experiment_2025-12-08_22-01-38_boiled_egg.json,Chef,10,122,qwen2.5-3b
boiled_egg,baseline,Free-form,experiment_2025-12-08_22-01-38_boiled_egg.json,Chef,10,354,qwen2.5-3b
boiled_egg,baseline,Free-form,experiment_2025-12-08_22-01-38_boiled_egg.json,Chef,11,113,qwen2.5-3b
boiled_egg,baseline,Free-form,experiment_2025-12-08_22-01-38_boiled_egg.json,Chef,11,130,qwen2.5-3b
boiled_egg,baseline,Free-form,experiment_2025-12-08_22-01-38_boiled_egg.json,Chef,11,129,qwen2.5-3b
boiled_egg,baseline,Free-form,experiment_2025-12-08_22-01-38_boiled_egg.json,Chef,11,243,qwen2.5-3b
boiled_egg,baseline,Free-form,experiment_2025-12-08_22-01-38_boiled_egg.json,Chef,11,234,qwen2.5-3b
boiled_egg,baseline,Free-form,experiment_2025-12-08_22-01-38_boiled_egg.json,Chef,11,0,qwen2.5-3b
boiled_egg,baseline,Free-form,experiment_2025-12-08_22-01-38_boiled_egg.json,Chef,12,0,qwen2.5-3b
boiled_egg,baseline,Free-form,experiment_2025-12-08_22-01-38_boiled_egg.json,Chef,12,0,qwen2.5-3b
boiled_egg,baseline,Free-form,experiment_2025-12-08_22-01-38_boiled_egg.json,Assistant,5,147,qwen2.5-3b
boiled_egg,baseline,Free-form,experiment_2025-12-08_22-01-38_boiled_egg.json,Assistant,5,97,qwen2.5-3b
boiled_egg,baseline,Free-form,experiment_2025-12-08_22-01-38_boiled_egg.json,Assistant,6,101,qwen2.5-3b
boiled_egg,baseline,Free-form,experiment_2025-12-08_22-01-38_boiled_egg.json,Assistant,6,93,qwen2.5-3b
