timestep,agent,tokens,utterance
50,Chef,186,"Nothing

request('pickup(empty_dish, dish_dispenser)'); request('put_obj_in_utensil(oven0)'); request('serve_dish()');

*Note: serve_dish() is not listed in the Chef's skill set, but I assumed it would be necessary to serve the dish once it is ready since it was not specified that the dish needs to be served on a plate in the recipe.*"
50,Chef,115,"""Chef, please chop the onion_slices and place them in the oven0 to cook."""
50,Chef,156,"Chef, please chop the onion_slices and place them in the oven0 to cook."
50,Chef,102,"Chef, please chop the onion slices and place them in the oven0 to cook."
50,Chef,181,"Chef, please chop the onion_slices and place them in the oven0 to cook with the green_pea and mashed_zucchini."
50,Chef,179,"**
Chef, please wait for 3 timesteps before checking on the onion slices. After that, I will put them back into the oven0 to cook some more. Once cooked, we should serve the zucchini_green_pea_and_onion_patty."
50,Chef,204,"Chef, please chop the onion_slices and place them in the oven0 to cook. Once cooked, please serve the zucchini_green_pea_and_onion_patty."
51,Chef,134,"""Please pick up the zucchini, green peas, and onion slices from the ingredient dispenser and chop the onion slices on the chopping board."""
52,Chef,191,[NOTHING]
57,Chef,121,"""I have the finished patty, please cut the zucchini, green peas, and onions on the chopping board. I will deliver the soup once you are ready.""

Note: [END]"
57,Chef,102,"** ""I am delivering the Zucchini, Green Pea, and Onion Patty to the serving location. Prepare the remaining ingredients, please."""
