order,mode_key,mode,file,agent,timestep,tokens,model
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,5,142,gpt-3.5-turbo-0125
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,5,114,gpt-3.5-turbo-0125
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,5,105,gpt-3.5-turbo-0125
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,5,89,gpt-3.5-turbo-0125
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,5,147,gpt-3.5-turbo-0125
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,5,136,gpt-3.5-turbo-0125
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,5,129,gpt-3.5-turbo-0125
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,5,126,gpt-3.5-turbo-0125
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,5,183,gpt-3.5-turbo-0125
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,5,139,gpt-3.5-turbo-0125
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,6,95,gpt-3.5-turbo-0125
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,6,162,gpt-3.5-turbo-0125
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,6,158,gpt-3.5-turbo-0125
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,6,114,gpt-3.5-turbo-0125
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,6,110,gpt-3.5-turbo-0125
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,8,140,gpt-3.5-turbo-0125
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,8,93,gpt-3.5-turbo-0125
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,8,101,gpt-3.5-turbo-0125
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,8,106,gpt-3.5-turbo-0125
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,8,107,gpt-3.5-turbo-0125
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,8,85,gpt-3.5-turbo-0125
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,8,103,gpt-3.5-turbo-0125
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,8,115,gpt-3.5-turbo-0125
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,8,155,gpt-3.5-turbo-0125
