order,mode_key,mode,file,agent,timestep,tokens
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,5,142
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,5,114
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,5,105
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,5,89
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,5,147
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,5,136
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,5,129
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,5,126
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,5,183
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,5,139
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,6,95
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,6,162
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,6,158
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,6,114
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,6,110
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,8,140
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,8,93
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,8,101
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,8,106
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,8,107
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,8,85
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,8,103
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,8,115
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,8,155
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,8,120
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,8,94
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,8,154
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,8,99
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,8,114
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,8,91
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,8,173
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,8,108
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,8,116
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,8,91
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,12,71
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,12,67
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,12,198
boiled_egg,baseline,Free-form,experiment_2025-11-06_03-50-32_boiled_egg.json,Chef,12,124
